k = 1024, lf = 11.00, rf = 10.00, l = 11 <=> r = 10
k = 1025, lf = 11.00, rf = 10.00, l = 12 <=> r = 11
k = 1026, lf = 11.00, rf = 10.00, l = 12 <=> r = 11
k = 1027, lf = 11.00, rf = 10.00, l = 12 <=> r = 11
k = 1028, lf = 11.00, rf = 10.01, l = 12 <=> r = 11
k = 1029, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1030, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1031, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1032, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1033, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1034, lf = 11.01, rf = 10.01, l = 12 <=> r = 11
k = 1035, lf = 11.01, rf = 10.02, l = 12 <=> r = 11
k = 1036, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1037, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1038, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1039, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1040, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1041, lf = 11.02, rf = 10.02, l = 12 <=> r = 11
k = 1042, lf = 11.02, rf = 10.03, l = 12 <=> r = 11
k = 1043, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1044, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1045, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1046, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1047, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1048, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1049, lf = 11.03, rf = 10.03, l = 12 <=> r = 11
k = 1050, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1051, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1052, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1053, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1054, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1055, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1056, lf = 11.04, rf = 10.04, l = 12 <=> r = 11
k = 1057, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1058, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1059, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1060, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1061, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1062, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1063, lf = 11.05, rf = 10.05, l = 12 <=> r = 11
k = 1064, lf = 11.05, rf = 10.06, l = 12 <=> r = 11
k = 1065, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1066, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1067, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1068, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1069, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1070, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1071, lf = 11.06, rf = 10.06, l = 12 <=> r = 11
k = 1072, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1073, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1074, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1075, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1076, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1077, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1078, lf = 11.07, rf = 10.07, l = 12 <=> r = 11
k = 1079, lf = 11.07, rf = 10.08, l = 12 <=> r = 11
k = 1080, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1081, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1082, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1083, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1084, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1085, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1086, lf = 11.08, rf = 10.08, l = 12 <=> r = 11
k = 1087, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1088, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1089, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1090, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1091, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1092, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1093, lf = 11.09, rf = 10.09, l = 12 <=> r = 11
k = 1094, lf = 11.09, rf = 10.10, l = 12 <=> r = 11
k = 1095, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1096, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1097, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1098, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1099, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1100, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1101, lf = 11.10, rf = 10.10, l = 12 <=> r = 11
k = 1102, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1103, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1104, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1105, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1106, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1107, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1108, lf = 11.11, rf = 10.11, l = 12 <=> r = 11
k = 1109, lf = 11.11, rf = 10.12, l = 12 <=> r = 11
k = 1110, lf = 11.12, rf = 10.12, l = 12 <=> r = 11
k = 1111, lf = 11.12, rf = 10.12, l = 12 <=> r = 11
