n =  1, m =  1, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  2, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  3, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  4, t1f =  0.25, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  5, t1f =  0.20, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  6, t1f =  0.17, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  7, t1f =  0.14, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  8, t1f =  0.12, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m =  9, t1f =  0.11, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 10, t1f =  0.10, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 11, t1f =  0.09, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 12, t1f =  0.08, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 13, t1f =  0.08, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 14, t1f =  0.07, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 15, t1f =  0.07, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 16, t1f =  0.06, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 17, t1f =  0.06, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 18, t1f =  0.06, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 19, t1f =  0.05, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  1, m = 20, t1f =  0.05, t1 =  1 <=> t2 =  1, t2f =  1.00
n =  2, m =  1, t1f =  2.00, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  2, m =  2, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  2, m =  3, t1f =  0.67, t1 =  1 <=> t2 =  1, t2f =  1.33
n =  2, m =  4, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.25
n =  2, m =  5, t1f =  0.40, t1 =  1 <=> t2 =  1, t2f =  1.20
n =  2, m =  6, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.17
n =  2, m =  7, t1f =  0.29, t1 =  1 <=> t2 =  1, t2f =  1.14
n =  2, m =  8, t1f =  0.25, t1 =  1 <=> t2 =  1, t2f =  1.12
n =  2, m =  9, t1f =  0.22, t1 =  1 <=> t2 =  1, t2f =  1.11
n =  2, m = 10, t1f =  0.20, t1 =  1 <=> t2 =  1, t2f =  1.10
n =  2, m = 11, t1f =  0.18, t1 =  1 <=> t2 =  1, t2f =  1.09
n =  2, m = 12, t1f =  0.17, t1 =  1 <=> t2 =  1, t2f =  1.08
n =  2, m = 13, t1f =  0.15, t1 =  1 <=> t2 =  1, t2f =  1.08
n =  2, m = 14, t1f =  0.14, t1 =  1 <=> t2 =  1, t2f =  1.07
n =  2, m = 15, t1f =  0.13, t1 =  1 <=> t2 =  1, t2f =  1.07
n =  2, m = 16, t1f =  0.12, t1 =  1 <=> t2 =  1, t2f =  1.06
n =  2, m = 17, t1f =  0.12, t1 =  1 <=> t2 =  1, t2f =  1.06
n =  2, m = 18, t1f =  0.11, t1 =  1 <=> t2 =  1, t2f =  1.06
n =  2, m = 19, t1f =  0.11, t1 =  1 <=> t2 =  1, t2f =  1.05
n =  2, m = 20, t1f =  0.10, t1 =  1 <=> t2 =  1, t2f =  1.05
n =  3, m =  1, t1f =  3.00, t1 =  3 <=> t2 =  3, t2f =  3.00
n =  3, m =  2, t1f =  1.50, t1 =  2 <=> t2 =  2, t2f =  2.00
n =  3, m =  3, t1f =  1.00, t1 =  1 <=> t2 =  1, t2f =  1.67
n =  3, m =  4, t1f =  0.75, t1 =  1 <=> t2 =  1, t2f =  1.50
n =  3, m =  5, t1f =  0.60, t1 =  1 <=> t2 =  1, t2f =  1.40
n =  3, m =  6, t1f =  0.50, t1 =  1 <=> t2 =  1, t2f =  1.33
n =  3, m =  7, t1f =  0.43, t1 =  1 <=> t2 =  1, t2f =  1.29
n =  3, m =  8, t1f =  0.38, t1 =  1 <=> t2 =  1, t2f =  1.25
n =  3, m =  9, t1f =  0.33, t1 =  1 <=> t2 =  1, t2f =  1.22
n =  3, m = 10, t1f =  0.30, t1 =  1 <=> t2 =  1, t2f =  1.20
n =  3, m = 11, t1f =  0.27, t1 =  1 <=> t2 =  1, t2f =  1.18
n =  3, m = 12, t1f =  0.25, t1 =  1 <=> t2 =  1, t2f =  1.17
n =  3, m = 13, t1f =  0.23, t1 =  1 <=> t2 =  1, t2f =  1.15
